"location_id","location_name","process_id","date","poll","unit","source","country","frequency","aggregation_function","threshold","exceedance_allowed_per_year","organization","standard_id","value","exceedance","year","exceedance_this_year","violation","gadm1_id"
"worthing_gbr.1_1_gb","Worthing","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,28.375,1,2019,1,TRUE,"gbr.1_1"
"bournemouth_gbr.1_1_gb","Bournemouth","city_background_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.5,1,2019,1,TRUE,"gbr.1_1"
"bournemouth_gbr.1_1_gb","Bournemouth","city_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.5,1,2019,2,TRUE,"gbr.1_1"
"cardiff_gbr.4_1_gb","Cardiff","city_background_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.8166666666667,1,2019,1,TRUE,"gbr.4_1"
"cardiff_gbr.4_1_gb","Cardiff","city_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.8166666666667,1,2019,2,TRUE,"gbr.4_1"
"christchurch_gbr.1_1_gb","Christchurch","city_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,34.625,1,2019,2,TRUE,"gbr.1_1"
"cornwall_gbr.1_1_gb","Cornwall","city_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.7083333333333,1,2019,1,TRUE,"gbr.1_1"
"eastbourne_gbr.1_1_gb","Eastbourne","city_background_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.3458333333333,1,2019,3,TRUE,"gbr.1_1"
"eastbourne_gbr.1_1_gb","Eastbourne","city_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.3458333333333,1,2019,4,TRUE,"gbr.1_1"
"newport_gbr.4_1_gb","Newport","city_background_day_mad",2019-01-05,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.035375,1,2019,1,TRUE,"gbr.4_1"
